,FACILITYID,STATE,TYPE,pm25_2019_2022_mean,delta_from_naaqs,pm25_1998,pm25_2019,pm25_2022,statewide_1998_mean,statewide_2019_mean,statewide_2022_mean,perc_natl_1998,perc_natl_2019,perc_natl_2022,delta_natl_1998,delta_natl_2019,delta_natl_2022
876,10002225,CO,STATE,5.237500131130218,-3.7624998688697824,5.90000009536743,4.85000014305115,4.80000019073486,6.583333333333333,5.816666666666666,5.6000000000000005,-0.056336045529282834,-0.14380769535380736,-0.1158392158805907,-6.2295917413672655,-1.8719386324590541,-2.106122258244733
877,10002226,CO,STATE,5.17500001192093,-3.82499998807907,5.90000009536743,4.75,4.75,6.583333333333333,5.816666666666666,5.6000000000000005,-0.056336045529282834,-0.15868437697659704,-0.12307919621749415,-6.2295917413672655,-1.9719387755102042,-2.156122448979593
878,10002227,CO,STATE,5.21250009536743,-3.78749990463257,5.90000009536743,4.80000019073486,4.75,6.583333333333333,5.816666666666666,5.6000000000000005,-0.056336045529282834,-0.15124601843084182,-0.12307919621749415,-6.2295917413672655,-1.9219385847753445,-2.156122448979593
879,10002228,CO,STATE,4.562499940395355,-4.437500059604645,6.45000004768372,4.09999990463257,4.30000019073486,6.583333333333333,5.816666666666666,5.6000000000000005,-0.010992396730598175,-0.2553826833841995,-0.18823874306735192,-5.679591789050975,-2.621938870877634,-2.606122258244733
880,10002233,CO,STATE,4.975000023841858,-4.024999976158142,9.30000019073486,4.40000009536743,4.80000019073486,6.583333333333333,5.816666666666666,5.6000000000000005,0.223970179208673,-0.21075267398455436,-0.1158392158805907,-2.8295916459998356,-2.3219386801427744,-2.106122258244733
881,10002244,AZ,STATE,12.09999990463255,3.0999999046325506,12.1999998092651,10.5,12.1999998092651,9.583333333333334,7.341666666666666,8.424999999999999,0.21572584726281904,0.46985452245414305,0.5466164026418141,0.0704079725304041,3.7780612244897958,5.2938773602855065
882,10002245,AZ,STATE,10.487500190734858,1.487500190734858,11.4000000953674,9.10000038146973,10.8000001907349,9.583333333333334,7.341666666666666,8.424999999999999,0.14977146687922807,0.2615813344223154,0.3438977817553492,-0.7295917413672957,2.378061605959526,3.8938777417553077
883,10002248,AZ,STATE,6.299999952316285,-2.700000047683715,5.40000009536743,5.5,6.19999980926514,9.583333333333334,7.341666666666666,8.424999999999999,-0.3448865629012018,-0.2739784946236558,-0.3221779235993146,-6.7295917413672655,-1.2219387755102042,-0.7061226397144527
884,10002249,AZ,STATE,4.074999988079073,-4.925000011920927,4.19999980926514,3.70000004768372,3.90000009536743,9.583333333333334,7.341666666666666,8.424999999999999,-0.4438181924444207,-0.5417583736779183,-0.6552157072310753,-7.929592027469555,-3.0219387278264844,-3.006122353612163
885,10002250,AZ,FEDERAL,7.149999976158143,-1.850000023841857,9.5,6.19999980926514,6.69999980926514,9.583333333333334,7.341666666666666,8.424999999999999,-0.0068702504136171644,-0.16984190060774118,-0.24977839641255337,-2.6295918367346953,-0.521938966245064,-0.20612263971445266
886,10002258,IL,STATE,8.0,-1.0,14.5,7.59999990463257,7.90000009536743,16.925,8.616666666666667,8.475,-0.19992428703625814,-0.15124606099330778,-0.08325944245566169,2.3704081632653047,0.8780611291223659,0.9938776463878369
887,10002259,IL,STATE,8.318750143051147,-0.6812498569488525,16.5500001907349,8.05000007152557,8.15000009536743,16.925,8.616666666666667,8.475,-0.030916111136518872,-0.08430106462820114,-0.04705967886228108,4.4204083540002035,1.328061296015366,1.243877646387837
888,10002260,DE,STATE,8.025000095367432,-0.9749999046325684,15.6999998092651,8.0,7.80000019073486,15.283333333333333,7.050000000000001,6.733333333333333,0.034351236343327235,0.14132827324478167,0.1544523522833179,3.570407972530404,1.2780612244897958,0.8938777417552668
889,10002262,DE,STATE,6.662500023841858,-2.337499976158142,15.0,6.59999990463257,6.40000009536743,15.283333333333333,7.050000000000001,6.733333333333333,-0.023358851406298186,-0.06694498572449062,-0.048266337648727155,2.8704081632653047,-0.12193887087763411,-0.5061223536121631
