,FACILITYID,STATE,TYPE,pm25_2019_2022_mean,delta_from_naaqs,pm25_1998,pm25_2019,pm25_2022
371,10000770,NJ,FEDERAL,6.256250023841857,-2.743749976158143,14.625,6.05000007152557,5.95000004768372
372,10000771,CA,STATE,7.687500059604642,-1.312499940395358,5.40000009536743,5.14999985694885,5.30000019073486
373,10000772,CA,FEDERAL,10.449999988079071,1.449999988079071,6.0,6.04999995231628,6.75
374,10000773,CA,STATE,9.887499988079062,0.8874999880790622,5.90000009536743,6.45000004768372,6.90000009536743
375,10000774,CA,STATE,7.8749998807907104,-1.1250001192092896,4.80000019073486,5.0,5.59999990463257
376,10000780,CA,STATE,9.150000214576721,0.1500002145767212,8.5,6.90000009536743,7.80000019073486
377,10000782,CA,STATE,8.591666539510086,-0.4083334604899136,7.76666673024495,6.0,7.19999980926514
378,10000785,CA,STATE,8.216666658719378,-0.7833333412806223,9.83333301544189,7.03333330154419,7.0
379,10000786,CA,STATE,8.124999940395362,-0.8750000596046377,11.3499999046326,7.0,7.04999995231628
380,10000789,CA,STATE,8.674999833106984,-0.32500016689301603,7.90000009536743,6.19999980926514,7.40000009536743
381,10000790,CA,STATE,9.491666634877527,0.49166663487752693,9.43333339691162,8.46666653951009,9.33333333333333
382,10000794,CA,STATE,9.450000047683726,0.4500000476837265,12.3000001907349,7.69999980926514,9.0
383,10000799,CA,STATE,10.099999984105432,1.0999999841054322,12.6333335240682,8.1333335240682,9.46666685740153
384,10000801,CA,STATE,12.075000286102282,3.0750002861022825,14.5,8.60000038146973,10.5
385,10000802,CA,STATE,12.0750002861023,3.0750002861023003,14.3999996185303,8.5,10.5
386,10000806,CA,FEDERAL,12.90000009536744,3.9000000953674405,15.5500001907349,9.55000019073486,11.75
387,10000810,CA,STATE,7.131250023841858,-1.868749976158142,10.8249998092651,5.14999997615814,6.95000004768372
388,10000811,CA,STATE,10.074999928474444,1.074999928474444,8.80000019073486,7.40000009536743,7.19999980926514
389,10000814,CA,STATE,6.062499940395355,-2.9375000596046448,6.64999985694885,5.52499997615814,5.32499992847443
390,10000817,CA,STATE,6.418750017881395,-2.581249982118605,5.57499992847443,4.94999992847443,5.92499995231628
391,10000821,CA,STATE,6.574999928474428,-2.425000071525572,5.59999990463257,5.09999990463257,6.09999990463257
392,10000822,CA,STATE,6.149999976158143,-2.850000023841857,5.59999990463257,4.69999980926514,5.69999980926514
393,10000824,CA,STATE,12.468749880790693,3.4687498807906927,18.375,9.89999961853027,11.9499998092651
